group,axis,label,n,rho,p,loo_min,loo_max,loo_sign_stable,most_influential
static DNA,cry_minor_w,Crystal minor-groove width (A),12,0.4755244755244756,0.11817595701303213,0.3454545454545455,0.6272727272727273,True,egr1
dynamic DNA,mgwfl_relax,"MGW fluctuation, relaxed (A)",11,-0.46363636363636374,0.15090149929248603,-0.6121212121212121,-0.34545454545454546,True,lef1
dynamic DNA,iface_mgwfl_froz,"Interface MGW fluctuation, frozen (A)",11,-0.44545454545454555,0.16973260492681172,-0.5757575757575757,-0.309090909090909,True,hsf
static DNA,groove_dev,Crystal minor-groove deviation from B,12,0.39860139860139865,0.19933549461780897,0.22727272727272727,0.5545454545454546,True,csl
protein,d_min,Reachability d_min (A),12,-0.3636363636363637,0.2452650007307772,-0.5,-0.22727272727272727,True,engrailed
dynamic DNA,mgwfl_froz,"MGW fluctuation, frozen (A)",11,-0.3181818181818182,0.34029761418190363,-0.5757575757575757,-0.22424242424242422,True,lef1
protein,rmsf_mean,Ensemble RMSF (A),12,-0.2797202797202798,0.37856866966230307,-0.5181818181818182,-0.17272727272727276,True,lef1
static DNA,induced_fit_index,"Induced-fit index (static, measured)",12,0.2447552447552448,0.4432619364501832,0.06363636363636364,0.48181818181818187,True,hsf
dynamic DNA,froz_bend_iqr,"Ensemble DNA-bend IQR, frozen (deg)",12,-0.22377622377622378,0.48445166145539886,-0.5181818181818182,-0.11818181818181818,True,csl
static DNA,cry_shortening,Crystal duplex shortening,12,0.18881118881118883,0.5567370561768314,0.009090909090909092,0.3454545454545455,True,err
dynamic DNA,iface_mgwfl_relax,"Interface MGW fluctuation, relaxed (A)",11,-0.13636363636363638,0.6893090205863619,-0.3939393939393939,-0.006060606060606061,True,csl
static DNA,bend_dev,Crystal bend deviation from B-DNA,12,-0.1188811188811189,0.712884219214772,-0.2545454545454546,0.10909090909090911,False,hsf
static DNA,cry_bend_uu,Crystal DNA bend (deg),12,-0.1188811188811189,0.712884219214772,-0.2545454545454546,0.10909090909090911,False,hsf
protein,spread,Free-state ensemble spread (A),12,-0.08391608391608392,0.7954145018538977,-0.26363636363636367,0.08181818181818183,False,lef1
